ID,Concept,Property
s1,broom,used_for_sweeping
s1,broom,has_brush
s1,broom,has_a_handle
s1,broom,used_for_removing_dirt
s1,sword,is_dangerous
s1,sword,associated_with_the_age_of_chivalry
s1,sword,used_for_fighting
s1,sword,is_sharp
s1,horse,used_by_riding
s1,horse,beh_-_jumps
s1,horse,requires_a_saddle
s1,horse,used_at_tournaments
s1,sweater,worn_for_warmth
s1,sweater,is_comfortable
s1,sweater,made_of_wool
s1,sweater,worn
s1,sweater,worn_in_winter
s1,sweater,worn_for_the_cold
s1,dog,an_animal
s1,dog,used_as_pet
s1,dog,is_large
s1,dog,is_small
s1,dog,has_a_fur
s1,dog,has_a_tail
s1,hand,has_5_fingers
s1,hand,is_flexible
s1,hand,used_for_shaking
s1,hand,used_for_waving
s1,eye,is_green
s1,eye,is_blue
s1,eye,is_brown
s1,eye,is_egg-shaped
s1,eye,used_for_seeing
s2,potato,is_round
s2,potato,is_brown
s2,potato,is_edible
s2,potato,grows_underground
s2,shoes,has_a_base
s2,shoes,worn_for_protection_from_dirt
s2,shoes,worn_for_protection_from_injuries
s2,shoes,has_shape_of_foot
s2,apple,is_round
s2,apple,different_colours
s2,apple,is_red
s2,apple,is_yellow
s2,apple,is_green
s2,apple,several_tastes
s2,apple,is_edible
s2,leg,used_for_walking
s2,leg,connected_to_foot
s2,leg,is_flesh_coloured
s2,leg,used_for_walking
s2,leg,used_for_jumping
s2,table,is_cornered
s2,table,is_triangular
s2,table,is_round
s2,table,is_oval
s2,table,has_a_plane
s2,table,used_for_eating_on
s2,table,used_for_homework
s2,table,has_4_legs
s2,table,has_4_legs
s2,table,made_of_wood
s2,train,is_long
s2,train,has_cars
s2,train,a_vehicle
s2,train,used_for_transportation
s2,train,is_loud
s3,broom,has_a_handle
s3,broom,has_bristles
s3,broom,used_for_cleaning
s3,broom,associated_with_witches
s3,sword,like_a_long_knife
s3,sword,is_sharp
s3,sword,used_by_knights
s3,sword,used_by_knights
s3,sword,symbol_for_power
s3,horse,has_4_legs
s3,horse,an_animal
s3,horse,used_for_sports
s3,sweater,used_for_covering_body
s3,sweater,produces_warmth
s3,sweater,is_fashionable
s3,dog,has_4_legs
s3,dog,an_animal
s3,dog,used_as_pet
s3,dog,beh_-_barks_when_liking_or_disliking
s3,dog,beh_-_likes_bones
s3,hand,part_of_body
s3,hand,has_fingers
s3,hand,used_for_lifting
s3,hand,used_for_writing
s3,eye,located_in_the_human_face
s3,eye,used_for_seeing
s3,eye,is_brown
s3,eye,is_green
s3,eye,is_blue
s4,potato,a_food
s4,potato,is_cultivated_on_earth
s4,potato,has_been_existing_for_long
s4,potato,is_yellow_inside
s4,potato,is_brown
s4,potato,eaten_after_peeling
s4,potato,eaten_by_cooking
s4,potato,eaten_by_?_before
s4,shoes,worn_for_warmth_of_the_body
s4,shoes,worn_for_protection_of_the_body
s4,shoes,is_light
s4,shoes,is_strong
s4,shoes,is_high
s4,shoes,different_colours
s4,shoes,different_types
s4,shoes,is_important_for_humans
s4,shoes,produced_by_companies
s4,apple,grows_on_trees
s4,apple,is_edible
s4,apple,different_types
s4,apple,is_picked
s4,apple,is_sold
s4,leg,humans_have_2
s4,leg,used_for_moving
s4,leg,used_for_pushing
s4,table,made_of_wood
s4,table,used_for_holding
s4,table,used_for_eating_on
s4,table,used_for_writing_on
s4,train,a_vehicle
s4,train,used_for_transportation
s4,train,used_on_rail_tracks
s4,train,associated_with_industrial_revolution
s4,train,is_useful_for_traffic
s4,train,is_fast
s4,train,is_secure
s5,broom,associated_with_witches
s5,broom,used_for_cleaning
s5,broom,used_for_flying
s5,broom,is_rough
s5,broom,causes_injuries
