"pair","mean","std"
"apple - apple",0.270081700462213,0.0277860669757838
"broom - broom",0.239558452933587,0.025172820918632
"dog - dog",0.230722870258328,0.0230987456599969
"eye - eye",0.234845930455151,0.0263942381410773
"hand - hand",0.17324796313103,0.0252871979127897
"horse - horse",0.207581538737002,0.0215952094536381
"leg - leg",0.184825948293963,0.0209233266553549
"potato - potato",0.163400463450403,0.0192011416620339
"shoes - shoes",0.114259137501161,0.0154093560182486
"sweater - sweater",0.18070868775962,0.018391713935064
"sword - sword",0.166554739374159,0.0191003816883428
"table - table",0.261010613646031,0.0272832233863471
"train - train",0.263306239679441,0.0248564905084378
