"","apple","broom","dog","eye","hand","horse","leg","potato","shoes","sweater","sword","table","train"
"apple",1,0.0190938755940834,0.0272054153522254,0.0888006993769272,0.00153978139612323,0.0197373630541391,0.0030560722677655,0.124752701300295,0.0619666537337706,0.0193703236016073,0.00052303773373003,0.0346601281372227,0.000356722068631832
"broom",0.0190938755940834,1,0.00280372668558465,0,0.00195713080125425,0.00150522410256613,0,0.00116592827277685,0.0085780809359634,0.00252518408907922,0.162212243764451,0.0523759865020211,0.0122420606221344
"dog",0.0272054153522254,0.00280372668558465,1,0.00126373145792366,0.00718495708413292,0.548767496726246,0.00164541948905523,0.0088898937841589,0.036997102294205,0.00909209998985647,0.00675860834576345,0.133117667617341,0.0169015162397396
"eye",0.0888006993769272,0,0.00126373145792366,1,0.112326203726099,0.0280427574446796,0.0560265013558851,0.055705338832785,0.0653776822262964,0.0597546172415141,0,0.00750147172417106,0
"hand",0.00153978139612323,0.00195713080125425,0.00718495708413292,0.112326203726099,1,0.0136491041120125,0.408128350197007,0.00344753150518308,0.016602227504273,0.00821338421704885,0.00157260699186749,0.0428426730213458,0.0246686279238669
"horse",0.0197373630541391,0.00150522410256613,0.548767496726246,0.0280427574446796,0.0136491041120125,1,0.00412238839243124,0.0196210062165885,0.0255374581808254,0.0166536243444294,0.00786167110153738,0.134917653742632,0.016497892378073
"leg",0.0030560722677655,0,0.00164541948905523,0.0560265013558851,0.408128350197007,0.00412238839243124,1,0.00684246832164913,0.0384430381164068,0.0118556124175326,0,0,0.0670551694224008
"potato",0.124752701300295,0.00116592827277685,0.0088898937841589,0.055705338832785,0.00344753150518308,0.0196210062165885,0.00684246832164913,1,0.018956795827328,0.00333612795497949,0.000702640934605575,0.0212115271476496,0.00047921500024562
"shoes",0.0619666537337706,0.0085780809359634,0.036997102294205,0.0653776822262964,0.016602227504273,0.0255374581808254,0.0384430381164068,0.018956795827328,1,0.249911558433203,0.00657941232155622,0.0103808987667958,0.0102566610284318
"sweater",0.0193703236016073,0.00252518408907922,0.00909209998985647,0.0597546172415141,0.00821338421704885,0.0166536243444294,0.0118556124175326,0.00333612795497949,0.249911558433203,1,0.00380447440427868,0.00168074005428125,0.00518945342575091
"sword",0.00052303773373003,0.162212243764451,0.00675860834576345,0,0.00157260699186749,0.00786167110153738,0,0.000702640934605575,0.00657941232155622,0.00380447440427868,1,0.025369301115824,0.0333359016375366
"table",0.0346601281372227,0.0523759865020211,0.133117667617341,0.00750147172417106,0.0428426730213458,0.134917653742632,0,0.0212115271476496,0.0103808987667958,0.00168074005428125,0.025369301115824,1,0.00160952228930153
"train",0.000356722068631832,0.0122420606221344,0.0169015162397396,0,0.0246686279238669,0.016497892378073,0.0670551694224008,0.00047921500024562,0.0102566610284318,0.00518945342575091,0.0333359016375366,0.00160952228930153,1
