"Concept","Q1","Q2","T","S_obs","U","S_hat","sd_S_hat","CI_L","CI_U","C_T"
"apple",54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295
"broom",40,6,36,59,169,188.62962962963,67.9017957328102,108.381302576963,399.287517764957,0.765325108537137
"dog",58,13,35,88,232,213.687912087912,49.2986395918308,147.881223515749,351.813100626844,0.753253253253253
"eye",28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524
"hand",50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037
"horse",57,11,36,86,221,229.579545454545,58.8587372784472,152.314113650296,396.870261821587,0.744894639904701
"leg",53,5,35,74,176,346.874285714286,144.168652801544,177.184333910293,795.624814371687,0.700525536825206
"potato",46,9,38,78,223,192.461988304094,52.0524191851515,126.933489736826,345.74192556037,0.795880696631557
"shoes",52,14,38,88,201,182.03007518797,37.4927216204313,132.289389999143,287.633705499812,0.745004485767882
"sweater",53,9,35,78,200,229.596825396825,66.6300821092525,144.520364015683,423.482136342151,0.737620879120879
"sword",42,9,37,70,188,165.351351351351,44.401054219218,110.015865111779,297.206888546127,0.779224030037547
"table",44,5,37,62,192,250.367567567568,102.520744188886,131.410883762686,573.192749434442,0.772271016311167
"train",37,10,37,63,221,129.6,31.4591163257966,90.6351071770803,223.50453401819,0.835055824787812
