ID,Concept,Property
s74,hand,a_body_part
s74,hand,has_a_wrist
s74,hand,has_5_fingers
s74,hand,used_for_grasping
s74,hand,used_for_doing
s74,dog,an_animal
s74,dog,used_for_company
s74,dog,eaten_by_Chinese
s74,dog,is_agressive
s74,dog,beh_-_bites
s74,dog,beh_-_drools
s74,dog,smells_bad
s74,horse,an_animal
s74,horse,used_for_pulling
s74,horse,is_fast
s74,horse,used_in_the_ancient_times
s74,horse,is_large
s74,eye,a_body_part
s74,eye,used_for_seeing
s74,eye,has_an_iris
s74,eye,has_a_pupil
s74,eye,different_colours
s74,apple,a_fruit
s74,apple,grows_in_fall
s74,apple,different_colours
s74,apple,tastes_sweet
s74,train,a_vehicle
s74,train,used_for_transportation
s74,train,has_cars
s74,train,used_on_rail_tracks
s74,train,requires_electricity
s74,potato,a_tuber
s74,potato,is_edible
s74,potato,is_brown
s74,potato,grows_underground
s74,potato,eaten_by_frying
s74,sword,a_weapon
s74,sword,a_side_arm
s74,sword,made_of_steel
s74,sword,is_ancient
s74,sword,used_for_killing
s75,leg,lower_part_of_body
s75,leg,a_body_part
s75,leg,has_2_joints
s75,leg,used_for_walking
s75,table,a_structure
s75,table,has_4_legs
s75,table,used_for_holding
s75,sweater,clothing
s75,sweater,worn_for_warmth
s75,shoes,clothing
s75,shoes,worn_on_feet
s75,shoes,worn_for_protection
s75,shoes,worn_for_walking
s75,broom,a_tool
s75,broom,used_for_cleaning
s75,broom,has_a_handle
s75,broom,has_bristles
s76,hand,extreme_part_of_arm
s76,hand,has_5_fingers
s76,hand,used_for_handling
s76,dog,a_mammal
s76,dog,has_4_legs
s76,dog,has_a_fur
s76,dog,is_man's_best_friend
s76,dog,is_medium_sized
s76,horse,a_mammal
s76,horse,is_large
s76,horse,has_4_legs
s76,horse,has_a_fur
s76,horse,beh_-_neighs
s76,horse,used_by_riding
s76,eye,a_body_part
s76,eye,part_of_head
s76,eye,used_for_seeing
s76,eye,used_for_distinguishing_colours
s76,eye,is_defected
s76,apple,a_fruit
s76,apple,is_hard
s76,apple,is_round
s76,apple,different_colours
s76,apple,is_edible
s76,train,a_vehicle
s76,train,used_for_travel
s76,train,used_on_rail_tracks
s76,train,has_cars
s76,train,used_by_many_passengers
s76,potato,a_tuber
s76,potato,is_yellow_inside
s76,potato,is_brown
s76,potato,is_edible
s76,sword,an_object
s76,sword,made_of_metal
s76,sword,is_sharp
s76,sword,used_for_hurting
s76,sword,used_for_killing
s77,leg,a_body_part
s77,leg,used_for_moving
s77,leg,there_are_2
s77,table,furniture
s77,table,has_4_legs
s77,table,used_for_eating_on
s77,sweater,clothing
s77,sweater,worn_on_top_of_shirts
s77,sweater,warmer_than_shirt
s77,sweater,less_warm_than_jacket
s77,shoes,clothing
s77,shoes,worn_for_covering_feet
s77,shoes,there_are_2
s77,broom,a_tool
s77,broom,used_for_cleaning
s77,broom,has_a_handle
s77,broom,is_long
s78,hand,has_5_fingers
s78,hand,a_body_part
s78,hand,used_for_grasping
s78,hand,made_of_flesh
s78,dog,a_mammal
s78,dog,has_a_fur
s78,dog,beh_-_makes_noises
s78,dog,an_animal
s78,dog,is_domestic
s78,horse,an_animal
s78,horse,is_tall
s78,horse,used_for_transportation
s78,eye,a_body_part
s78,eye,used_for_seeing
s78,apple,an_object
s78,apple,is_round
s78,apple,is_edible
s78,apple,is_green
s78,apple,is_red
s78,apple,is_yellow
s78,train,a_vehicle
s78,train,used_for_transportation
s78,train,used_on_rail_tracks
s78,train,requires_steam
s78,train,requires_gasoline
s78,train,requires_electricity
s78,potato,a_tuber
s78,potato,is_brown
s78,potato,is_edible
s78,sword,a_weapon
s78,sword,made_of_metal
s78,sword,is_ancient
s79,hand,extreme_part_of_arm
s79,hand,part_of_arm
s79,hand,used_for_grasping
s79,dog,a_mammal
s79,dog,different_sizes
s79,dog,beh_-_eats_meat
s79,dog,used_for_hunting
s79,dog,used_for_hunting
s79,dog,used_for_protection
s79,horse,a_mammal
s79,horse,has_4_legs
s79,horse,used_for_travel
s79,eye,an_organ
s79,eye,used_for_seeing
s79,eye,beh_-_sends_signals_to_brain
s79,apple,a_fruit
s79,apple,tastes_sour
s79,apple,different_colours
s79,train,a_vehicle
s79,train,used_for_travel
s79,train,used_on_rail_tracks
s79,train,is_from_nineteenth_century
s79,potato,like_a_vagina
s79,potato,a_vegetable
s79,sword,heroin
s79,sword,a_weapon
s79,sword,used_for_cutting
s80,hand,a_body_part
s80,hand,extreme_part_of_arm
s80,hand,has_5_fingers
s80,hand,used_for_grasping
s80,dog,an_animal
s80,dog,a_mammal
s80,dog,has_a_long_tail
s80,dog,has_a_short_tail
s80,dog,has_sharp_teeth
s80,dog,has_a_long_muzzle
s80,dog,has_a_short_muzzle
s80,dog,beh_-_walks_on_4_feet
s80,horse,a_mammal
s80,horse,larger_than_a_human
s80,horse,beh_-_walks_on_4_feet
s80,horse,has_a_long_tail
s80,horse,has_a_long_nozzle
s80,eye,a_body_part
s80,eye,part_of_head
s80,eye,is_round
s80,eye,used_for_seeing
s80,apple,a_fruit
s80,apple,is_round
s80,apple,is_green
s80,apple,is_yellow
s80,apple,is_red
s80,apple,tastes_sweet
s80,train,a_vehicle
s80,train,used_for_transportation
s80,train,has_many_cars
s80,train,has_a_caboose
s80,train,used_on_rail_tracks
s80,potato,a_tuber
s80,potato,is_yellow
s80,sword,an_object
s80,sword,has_a_pointed_end
s80,sword,has_a_handle
s80,sword,has_a_steel_blade
s80,sword,has_an_iron_blade
s81,leg,a_lower_limb
s81,leg,a_limb
s81,leg,used_for_moving
s81,table,used_for_holding
s81,table,used_for_working
s81,table,used_for_eating_on
s81,table,has_4_legs
s81,sweater,clothing
s81,sweater,worn_in_winter
s81,sweater,worn_for_the_cold
s81,shoes,clothing
s81,shoes,worn_on_feet
s81,shoes,worn_for_walking
s81,shoes,different_kinds
s81,shoes,worn_for_sports
s81,broom,an_object
s81,broom,used_for_floor_sweeping
s81,broom,used_for_tidying_up
s81,broom,has_a_handle
s81,broom,has_bristles
s82,hand,a_body_part
s82,hand,extreme_part_of_upper_limbs
s82,hand,used_for_grasping
s82,dog,has_4_legs
s82,dog,is_man's_best_friend
s82,dog,beh_-_bites
