"pair","mean","std"
"apple - apple",0.331218676756584,0.0267630880899654
"broom - broom",0.289904277432984,0.0403753921361251
"dog - dog",0.251348684913816,0.0245679385150984
"eye - eye",0.282222891889069,0.0356088747451531
"hand - hand",0.303293774723437,0.0253106658982516
"horse - horse",0.264799827974165,0.0182698484840416
"leg - leg",0.254859368856057,0.0255459441257174
"potato - potato",0.283386518024073,0.0299019119426899
"shoes - shoes",0.258061393868698,0.0314123481953223
"sweater - sweater",0.245478856526905,0.0305555157318904
"sword - sword",0.237588511230133,0.0301546018361721
"table - table",0.287891027462197,0.0256888893891277
"train - train",0.370209985094965,0.0346388729484032
