"","apple","broom","dog","eye","hand","horse","leg","potato","shoes","sweater","sword","table","train"
"apple",1,0.00422956288901474,0.0179768354308649,0.128582867854504,0.000421490854938475,0.0352072138173047,0,0.286961286463974,0.0556720783976002,0.0408914045713859,0.00470315203828638,0.0346352981480668,0
"broom",0.00422956288901474,1,0.0128876269759075,0.00171193840429216,0.000628508572648122,0.010842276560517,0.00242732881031841,0.00197494160163453,0.0220510580197426,0.0021270508934091,0.304114944095688,0.0435224401493126,0.00517435463622112
"dog",0.0179768354308649,0.0128876269759075,1,0.0138528056570083,0.00184938835497372,0.603226719064271,0.012052837605668,0.00677981683182396,0.0429388042373448,0.0104314226936026,0.00797306355087983,0.244177095678762,0.00158599520773913
"eye",0.128582867854504,0.00171193840429216,0.0138528056570083,1,0.223145713146759,0.0139405204460967,0.290560650035435,0.0209068432724725,0.0881978176398848,0.0623549930432136,0.00311502463886938,0.0184292403235451,0.000351128270837819
"hand",0.000421490854938475,0.000628508572648122,0.00184938835497372,0.223145713146759,1,0.00921243769871942,0.293898627499829,0.00118085936438752,0.0110519597518861,0,0,0.000520459754038052,0.00116019603854109
"horse",0.0352072138173047,0.010842276560517,0.603226719064271,0.0139405204460967,0.00921243769871942,1,0.00444735688829748,0.0461022697803239,0.0147876580474058,0.00981513779383917,0.00674922005088366,0.246668293561296,0.180128802939801
"leg",0,0.00242732881031841,0.012052837605668,0.290560650035435,0.293898627499829,0.00444735688829748,1,0,0.0286426557557421,0,0,0.00653262785002462,0.0041073359109922
"potato",0.286961286463974,0.00197494160163453,0.00677981683182396,0.0209068432724725,0.00118085936438752,0.0461022697803239,0,1,0.0115760686188817,0.0173175699739282,0.00179679120872441,0.008722258077471,0
"shoes",0.0556720783976002,0.0220510580197426,0.0429388042373448,0.0881978176398848,0.0110519597518861,0.0147876580474058,0.0286426557557421,0.0115760686188817,1,0.17979668385495,0.0289127865983113,0.0257790968861871,0
"sweater",0.0408914045713859,0.0021270508934091,0.0104314226936026,0.0623549930432136,0,0.00981513779383917,0,0.0173175699739282,0.17979668385495,1,0.00709565787816402,0.0176138311072793,0
"sword",0.00470315203828638,0.304114944095688,0.00797306355087983,0.00311502463886938,0,0.00674922005088366,0,0.00179679120872441,0.0289127865983113,0.00709565787816402,1,0.0327330910593235,0.0172611996979873
"table",0.0346352981480668,0.0435224401493126,0.244177095678762,0.0184292403235451,0.000520459754038052,0.246668293561296,0.00653262785002462,0.008722258077471,0.0257790968861871,0.0176138311072793,0.0327330910593235,1,0.00142827186903041
"train",0,0.00517435463622112,0.00158599520773913,0.000351128270837819,0.00116019603854109,0.180128802939801,0.0041073359109922,0,0,0,0.0172611996979873,0.00142827186903041,1
