Concept(EN),ConceptClass,Concept(IT),Prod.Frequency,Rank,Feature,RelationType,FreqWaCKy,logFreqWaCKy,No.Letters,No.Syllables,No.Features,No.DistinguishingFeatures,Percent.DistinguishingFeatures,MeanDistinctivenessAcrossFeatures,MeanCueValidity,No.IntercorrelatedFeatures,Percent.IntercorrelatedFeatures,IntercorrelationalDensity,(Non)Distinguishing,Distinctiveness,Q1,Q2,T,S_obs,U,S_hat,sd_S_hat,CI_L,CI_U,C_T,Nationality
apple,fruit,mela,33,1,a_fruit,ch,23296,10.0560369509964,4,2,9,2,0.222222,0.297354,0.445015,21,0.583333,6.1985414916632,ND,0.2,22,3,37,44,215,122.486486486486,57.0253105928444,65.9075961303084,325.186878028626,0.8984437838783,IT
apple,fruit,mela,21,2,is_red,ese,23296,10.0560369509964,4,2,9,2,0.222222,0.297354,0.445015,21,0.583333,6.1985414916632,ND,0.333333,22,3,37,44,215,122.486486486486,57.0253105928444,65.9075961303084,325.186878028626,0.8984437838783,IT
apple,fruit,mela,19,3,is_green,ese,23296,10.0560369509964,4,2,9,2,0.222222,0.297354,0.445015,21,0.583333,6.1985414916632,ND,0.25,22,3,37,44,215,122.486486486486,57.0253105928444,65.9075961303084,325.186878028626,0.8984437838783,IT
apple,fruit,mela,18,4,is_yellow,ese,23296,10.0560369509964,4,2,9,2,0.222222,0.297354,0.445015,21,0.583333,6.1985414916632,ND,0.25,22,3,37,44,215,122.486486486486,57.0253105928444,65.9075961303084,325.186878028626,0.8984437838783,IT
apple,fruit,mela,16,5,is_edible,sa,23296,10.0560369509964,4,2,9,2,0.222222,0.297354,0.445015,21,0.583333,6.1985414916632,D,0.0833333,22,3,37,44,215,122.486486486486,57.0253105928444,65.9075961303084,325.186878028626,0.8984437838783,IT
apple,fruit,mela,16,5,is_round,ese,23296,10.0560369509964,4,2,9,2,0.222222,0.297354,0.445015,21,0.583333,6.1985414916632,ND,0.166667,22,3,37,44,215,122.486486486486,57.0253105928444,65.9075961303084,325.186878028626,0.8984437838783,IT
apple,fruit,mela,12,6,different_colours,ese,23296,10.0560369509964,4,2,9,2,0.222222,0.297354,0.445015,21,0.583333,6.1985414916632,ND,0.142857,22,3,37,44,215,122.486486486486,57.0253105928444,65.9075961303084,325.186878028626,0.8984437838783,IT
apple,fruit,mela,10,7,grows_on_trees,sl,23296,10.0560369509964,4,2,9,2,0.222222,0.297354,0.445015,21,0.583333,6.1985414916632,ND,0.25,22,3,37,44,215,122.486486486486,57.0253105928444,65.9075961303084,325.186878028626,0.8984437838783,IT
apple,fruit,mela,6,8,is_healthy,iep,23296,10.0560369509964,4,2,9,2,0.222222,0.297354,0.445015,21,0.583333,6.1985414916632,D,1.0,22,3,37,44,215,122.486486486486,57.0253105928444,65.9075961303084,325.186878028626,0.8984437838783,IT
broom,implement,scopa,22,1,has_a_handle,ece,4017,8.29829063435928,5,2,5,3,0.6,0.6,3.086945,3,1.0,1.00404911965714,ND,0.25,18,3,34,32,123,84.4117647058823,39.7305805537985,45.9916125842099,228.331413770337,0.855121951219512,IT
