"","alma","asztal","auto","bab","ceruza","cipo","citrom","eper","erdo","gomba","gyerek","helikopter","hercegno","jatszoter","kacsa","kard","kez","konyv","krumpli","kutya","lab","lo","nadrag","nappali","pulover","sepru","szem","szonyeg","tuzolto","vonat"
"alma",1,0.03308455007648,0.0228472526037115,0.278821911780108,0.0707324863704056,0.0320392898594561,0.438881173619849,0.650342614830713,0.0245877248379598,0.219067673156167,0.0253789250467833,0.00336717302758776,0.0013569045647795,0.00115944853973306,0.0394613830283127,0.0204795061385683,0.0261737284706078,0.0258946689045537,0.27358606511868,0.0172186425781172,0.0118234536154877,0.0082898906951461,0.110565882421239,0,0.052046091200061,0.0529687368471525,0.110779238042554,0.063429393710471,0.0272419477238694,0.0248304561724755
"asztal",0.03308455007648,1,0.0451527622601953,0.0631651170114755,0.208222811671088,0.0809145926596515,0.0447090623814349,0.0625023476382767,0.0107189200361365,0.0461903519180167,0.174455921252403,0.0521921983152648,0.026816348681377,0.0539154070429026,0.103545866841908,0.0610077168936145,0.0395558174587581,0.13420982727579,0.0770165905689189,0.291248249307705,0.0164940389975045,0.210090646234041,0.0341676223985341,0.134643156224733,0.0309902425611351,0.203791724943907,0.0118270443805644,0.126678284941124,0.0304964409211432,0.0765575658047401
"auto",0.0228472526037115,0.0451527622601953,1,0.019973386548424,0.0292164932271852,0.0964549052440234,0.0065835994770641,0.0300891381120737,0.0250440503936685,0.0100003750210951,0.0128446879754403,0.252162011313649,0.00631811412726177,0.0229444985687857,0.0196867346930642,0.129627433091134,0.031991386553803,0.0213513929704209,0.0242781842616027,0.0430938745177919,0.0357845756577319,0.0337749737636106,0.0342130278968377,0.0139909709900602,0.0162545562802323,0.0205530620492083,0.0263172475333287,0.085195496586627,0.0775169181874475,0.464982660443989
"bab",0.278821911780108,0.0631651170114755,0.019973386548424,1,0.0814497561463762,0.0499014368497374,0.245565848261208,0.335940917316391,0.0268686645311939,0.308234202419089,0.0723476408837165,0.0245302464523722,0.00593112437888033,0.0168934344599872,0.146204499291664,0.0205143922496177,0.0610171682608367,0.0393011811408617,0.689990145449916,0.10787823690618,0.0275632743531574,0.0688478104837282,0.110116976452289,0.0254720239966957,0.0795315031233102,0.0973896194646563,0.164701961467103,0.109005963551758,0.00441023893557704,0.00943788293020609
"ceruza",0.0707324863704056,0.208222811671088,0.0292164932271852,0.0814497561463762,1,0.078345875432361,0.0407641451124848,0.0733200616525938,0.00595495557563139,0.0174774304554658,0.0744003193576424,0.0156576594945794,0.0141968904783761,0.0175225072889433,0.0209713148034243,0.132431385451993,0.0593337261881372,0.176855940615761,0.0870002226797047,0.033028151983348,0.0261155617460488,0.0144557784105992,0.120400193213882,0.0152426214594037,0.0988736310283833,0.145146624240624,0.0328529010571234,0.11155251957502,0.00469176014171433,0.0363962198088109
"cipo",0.0320392898594561,0.0809145926596515,0.0964549052440234,0.0499014368497374,0.078345875432361,1,0.0254685540651235,0.0407397799953527,0.0149937243547716,0.0181342022312112,0.0559006642495936,0.0555975844614896,0.0305519100532268,0.0208848099810327,0.00634648605020697,0.0489933889662001,0.0427260419481389,0.0510161262475191,0.0662963189369326,0.0678462773024034,0.179695494443535,0.0279981365060492,0.341910821561115,0.0295221041862063,0.210078043484062,0.0894478575976832,0.0547217302845951,0.161126766956031,0.0306688310341711,0.0437540673169759
"citrom",0.438881173619849,0.0447090623814349,0.0065835994770641,0.245565848261208,0.0407641451124848,0.0254685540651235,1,0.349179386647957,0.0165319677067524,0.116349733155482,0.00635923393406966,0.00646850016443843,0,0.00133641360425617,0.0740744650071736,0.0147532909364457,0.0286601598288841,0.0286033148577544,0.35069550628315,0.0039693401474322,0.0177164667817578,0.0124217151689567,0.0419427404618711,0.00125940788852586,0.0351159897365619,0.0479704371189421,0.0286645011967245,0.0299940662140802,0.0104666164695262,0.00746616395451073
"eper",0.650342614830713,0.0625023476382767,0.0300891381120737,0.335940917316391,0.0733200616525938,0.0407397799953527,0.349179386647957,1,0.0226669010467192,0.310001961777373,0.0313888137180087,0.0165553347347658,0,0.00855096776691378,0.0201938409149924,0.0296679766838737,0.0441216074854043,0.0329657431084441,0.330898521628322,0.0426316875997741,0.00622845179626215,0.0262020825404338,0.12386228356134,0.0322330039918308,0.0641964851480765,0.0744087663701978,0.0643119694284408,0.0873900284413464,0.0637810100922926,0.0295730393817226
"erdo",0.0245877248379598,0.0107189200361365,0.0250440503936685,0.0268686645311939,0.00595495557563139,0.0149937243547716,0.0165319677067524,0.0226669010467192,1,0.0112106143916598,0.0207347679202973,0.0339800069708315,0.015582002697939,0.0411539647778496,0.037664787601919,0.0040086859884822,0.00546483274881279,0.0304119432505008,0.0204922846263749,0.0440398957286177,0.0234519651125812,0.0657723990611382,0.018994098416453,0.0730025885544254,0.00795127544960679,0.0157991185764014,0.0306822308020053,0.0407491431870852,0.0242261004500966,0.0293029603055383
"gomba",0.219067673156167,0.0461903519180167,0.0100003750210951,0.308234202419089,0.0174774304554658,0.0181342022312112,0.116349733155482,0.310001961777373,0.0112106143916598,1,0.0495052839403044,0.0270202381171321,0.016332937515613,0.00507497352793662,0.032077455987054,0.00560249915998738,0.0300730311203877,0.00590325355033422,0.22688099947926,0.0574673356434062,0.00258759712273219,0.0317496659725927,0.0842323750716984,0.00239127380729586,0.0319487896274052,0.0331210334784831,0.0309239255206125,0.0391535320496815,0.0507872309572542,0.00354405480306617
