"Concept","Q1","Q2","T","S_obs","U","S_hat","sd_S_hat","CI_L","CI_U","C_T"
"alma",58,13,15,90,203,210.758974358974,47.4153238608897,147.491033523252,343.652247916774,0.723150357995227
"asztal",113,22,14,148,232,417.475649350649,78.363076799591,302.167619415458,619.027092902447,0.527095630968389
"auto",89,9,14,123,222,531.623015873016,162.682350096462,315.672278474805,989.615428140033,0.605240559708645
"bab",92,14,16,115,168,398.392857142857,97.5281202440516,262.097440282304,660.974908369996,0.463271103896104
"ceruza",85,22,15,124,220,277.257575757576,48.2307049882619,207.91503413074,403.900792157158,0.627412700751437
"cipo",94,21,16,138,246,335.232142857143,60.8685384190082,247.202360866253,494.22414998577,0.628939057985621
"citrom",104,14,16,130,203,492.142857142857,121.548140410776,320.884370991979,817.051791081957,0.496717995805983
"eper",102,20,15,140,244,382.76,74.1650596979467,275.177046368399,575.964678791629,0.593357752266941
"erdo",152,19,16,190,287,760,161.92590898309,520.169527211309,1174.03993470925,0.479065516650483
"gomba",76,13,15,104,193,311.34358974359,76.0070719412389,207.380270220001,519.856566405458,0.615610590863716
"gyerek",127,24,15,177,290,490.619444444444,86.6585105689292,361.29340179127,710.698737869309,0.57358084375118
"helikopter",117,19,16,157,251,494.722039473684,101.193058609925,347.093712215018,756.999729697815,0.543743597833985
"hercegno",93,11,15,116,177,482.927272727273,135.636679812629,297.946126483137,855.975211747926,0.483306876952225
"jatszoter",88,13,15,114,192,391.989743589744,98.6667322761779,255.521620682082,660.052943491168,0.551139374668786
"kacsa",89,13,15,126,228,410.34358974359,100.684844200187,270.972961571304,683.699009194239,0.617627992938321
"kard",67,10,14,93,167,301.417857142857,84.5312474602965,189.995456697796,540.835441523389,0.607807953117334
"kez",89,12,14,113,179,419.467261904762,111.150967176544,266.867910055387,723.407865977988,0.512897412002895
"konyv",114,19,16,151,243,471.625,96.63437858754,330.887812858143,722.469456388725,0.541062801932367
"krumpli",101,17,16,132,210,413.277573529412,89.8252331270942,284.712070630611,650.080025003177,0.529604353038827
"kutya",132,20,16,179,322,587.375,117.475625796375,413.986808091901,888.700012435499,0.598179693745772
"lab",79,19,16,117,212,270.972039473684,51.0108172412197,198.798222147048,406.827679837188,0.63893688578966
"lo",130,22,16,177,328,537.085227272727,101.209508187849,386.74233304961,795.193614111193,0.612404286028818
"nadrag",87,17,16,118,187,326.704044117647,69.0908157588308,228.925554838624,510.672167332663,0.546572787577927
"nappali",66,9,16,93,186,319.875,95.2131654499523,196.024485338231,592.611965602311,0.651497695852535
"pulover",94,22,15,136,225,323.430303030303,57.2638850433787,240.365056357787,472.608053691814,0.595738562091503
"sepru",95,14,16,120,191,422.176339285714,103.290909989139,277.505217146751,699.730257055796,0.512202592217582
"szem",94,17,16,124,206,367.639705882353,79.1289637773843,254.976107770921,577.214767889281,0.554433477664524
"szonyeg",93,12,15,117,167,453.35,120.953807470731,286.803159192412,783.249809709402,0.453193161188934
"tuzolto",123,18,17,162,270,557.529411764706,119.056414504549,384.071632972718,866.47320748145,0.552628077178975
"vonat",100,28,16,145,252,312.410714285714,47.8477332595751,241.662141012611,434.941304465794,0.617456236993512
